Input,,Result Number,Widget,Data Origin,Result Row,Source Page URL,Regio,Insula,Civico,IDENT,Thumb,Nome,Descrizione,Pip
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,18,regioI,regioI,18,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,8,I.2.8,,Thermopolium di C. Hostilius Conops,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2008.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,19,regioI,regioI,19,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,9,I.2.9,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2009.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,20,regioI,regioI,20,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,10,I.2.10,,Casa di L. e M. Volusii Fausti,"È stata scavata nel 1873: originariamente era a due piani, di cui rimane solo la scala e presenta un impluvium decorato al centro con una mezza colonna che serviva da fontana; al suo interno, oltre a decorazioni come una Venere realizzata in opus sectile, anche numerosi reperti tra cui una statua della Fortuna, ritrovata nel triclinio e vasi, brocche e pentole in bronzo.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2010.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,21,regioI,regioI,21,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,11,I.2.11,,Thermopolium,,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2011.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,22,regioI,regioI,22,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,12,I.2.12,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2012.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,23,regioI,regioI,23,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,13,I.2.13,,Thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2013.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,24,regioI,regioI,24,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,14,I.2.14,,Casa con thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2014.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,25,regioI,regioI,25,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,15,I.2.15,,Casa senza nome,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2015.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,26,regioI,regioI,26,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,16,I.2.16,,Casa senza nome,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2016.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,27,regioI,regioI,27,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,17,I.2.17,,Casa senza nome,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2017.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,28,regioI,regioI,28,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,18,I.2.18,,Caupona e lupanare di Demetrius,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2018.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,29,regioI,regioI,29,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,19,I.2.19,,Ingresso secondario (I.2.18.),-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2019.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,30,regioI,regioI,30,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,20,I.2.20,,Caupona,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2020.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,31,regioI,regioI,31,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,21,I.2.21,,Thermopolium,,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2021.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,32,regioI,regioI,32,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,22,I.2.22,,Casa con bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2022.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,33,regioI,regioI,33,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,23,I.2.23,,Taberna di Verecundus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2023.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,34,regioI,regioI,34,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,24,I.2.24,,Officina libraria di Acilius Cedrus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2024.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,35,regioI,regioI,35,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,25,I.2.25,,Caupona,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2025.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,36,regioI,regioI,36,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,26,I.2.26,,Ingresso per piano superiore,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2026.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,37,regioI,regioI,37,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,27,I.2.27,,Ingresso per piano superiore,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2027.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,38,regioI,regioI,38,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,28,I.2.28,,Casa dell'Atrio Tetrastilo,"Chiamata anche Casa della Grata Metallica ha la particolarità di aver conservato quasi intatto la zona dell'impluvium, con la caratteristica che la zona del compluvium era chiuso da una grata in ferro per impedire ai ladri l'accesso alla casa dall'alto; all'interno si conservano, sparsi tra i vari ambienti, resta dell'intonaco: tra gli affreschi meglio conservati quello di Cassandra che prevede la caduta di Troia.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2028.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,39,regioI,regioI,39,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,29,I.2.29,,Thermopolium di Polybius,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2029.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,40,regioI,regioI,40,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,30,I.2.30,,Ingresso secondario (I.2.1.),-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2030.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,41,regioI,regioI,41,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,31,I.2.31,,Ingresso secondario (I.2.1.),-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2031.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,42,regioI,regioI,42,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,32,I.2.32,,Ingresso secondario (I.2.1.),-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2032.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,43,regioI,regioI,43,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,1,I.3.1,,Pasticceria,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2001.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,44,regioI,regioI,44,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,2,I.3.2,,Thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2002.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,45,regioI,regioI,45,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,3,I.3.3,,Casa di Epidius Fortunatus,"È stata scavata nel 1860 ed è così chiamata poiché su un'anfora, che conteneva del miele, venne ritrovato il nome di Epidius Fortunatus; oltre a tracce di stucco, rimangono anche resti dell'antica pavimentazione, specie nel tablino, realizzata in marmo. Ben conservata la zona della cucina con focolare e lavabo.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2003%20west%20p1.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,46,regioI,regioI,46,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,4,I.3.4,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2004.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,47,regioI,regioI,47,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,5,I.3.5,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2005.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,48,regioI,regioI,48,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,6,I.3.6,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2006.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,49,regioI,regioI,49,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,7,I.3.7,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2007.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,50,regioI,regioI,50,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,8,I.3.8,,Casa senza nome e casa di Vulcano,"È stata scavata nel 1869, presenta un peristilio ben conservato con alcune colonne sormontate da archi, mentre in alcune stanze, come in cubicoli o nel triclinio, si notano ancora tracce di intonaco di colorazione rosso e grigio; è stata inoltre rinvenuta una statuetta di Venere in una nicchia ed una statuetta in bronzo della Fortuna.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2008.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,51,regioI,regioI,51,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,9,I.3.9,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2009.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,52,regioI,regioI,52,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,10,I.3.10,,Casa senza nome,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2010.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,53,regioI,regioI,53,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,11,I.3.11,,Thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2011.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,54,regioI,regioI,54,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,12,I.3.12,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2012.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,55,regioI,regioI,55,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,13,I.3.13,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Bottega_di_Sextilius_Verus_3.JPG/150px-Bottega_di_Sextilius_Verus_3.JPG,Bottega di Sextilius Verus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2013.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,56,regioI,regioI,56,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,14,I.3.14,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Bottega_di_Sextilius_Verus_1.JPG/150px-Bottega_di_Sextilius_Verus_1.JPG,Bottega di Sextilius Verus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2014.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,57,regioI,regioI,57,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,15,I.3.15,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fullonica_di_Sestius_Venustus_3.JPG/150px-Fullonica_di_Sestius_Venustus_3.JPG,Fullonica di Sestius Venustus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2015.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,58,regioI,regioI,58,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,16,I.3.16,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Fullonica_di_Sestius_Venustus_2.JPG/150px-Fullonica_di_Sestius_Venustus_2.JPG,Fullonica di Sestius Venustus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2016.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,59,regioI,regioI,59,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,17,I.3.17,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ingresso_per_piano_superiore_I.3.17._1.JPG/150px-Ingresso_per_piano_superiore_I.3.17._1.JPG,Ingresso per piano superiore,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2017.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,60,regioI,regioI,60,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,18,I.3.18,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Fullonica_di_Sestius_Venustus_1.JPG/150px-Fullonica_di_Sestius_Venustus_1.JPG,Fullonica di Sestius Venustus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2018.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,61,regioI,regioI,61,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,19,I.3.19,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Ingresso_per_piano_superiore_I.3.19._1.JPG/150px-Ingresso_per_piano_superiore_I.3.19._1.JPG,Ingresso per piano superiore,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2019.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,62,regioI,regioI,62,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,20,I.3.20,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Casa_senza_nome_I.3.20._1.JPG/150px-Casa_senza_nome_I.3.20._1.JPG,Casa senza nome,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2020.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,63,regioI,regioI,63,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,21,I.3.21,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Ingresso_per_piano_superiore_I.3.21._1.JPG/150px-Ingresso_per_piano_superiore_I.3.21._1.JPG,Ingresso per piano superiore,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2021.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,64,regioI,regioI,64,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,22,I.3.22,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Thermopolium_I.3.22._1.JPG/150px-Thermopolium_I.3.22._1.JPG,Thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2022.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,65,regioI,regioI,65,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,23,I.3.23,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Casa_di_Anicetus_1.JPG/150px-Casa_di_Anicetus_1.JPG,Casa di Anicetus,"È stata esplorata nel 1868 e presentava vicino all'ingresso diverse iscrizioni elettorali: al suo interno inoltre fu ritrovato un affresco, conservato al museo archeologico di Napoli, raffigurante la lotta tra pompeiani e nocerini all'interno dell'anfiteatro.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2023.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,66,regioI,regioI,66,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,24,I.3.24,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Casa_di_Capella_1.JPG/150px-Casa_di_Capella_1.JPG,Casa di Capella,"Presentava ai lati dell'ingresso due affreschi raffiguranti Mercurio ed Ercole di cui però non ne rimane alcuna traccia, così come accaduto per il larario, di cui rimane solo una descrizione, dove era presente un Genio con una cornucopia sulle spalle, mentre versava libagioni su un altare, alla sua destra era una pantera e nella parte inferiore un serpente rosso e giallo.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2024.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,67,regioI,regioI,67,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,25,I.3.25,,Casa dei Guerrieri,"È stata scavata nel 1869: sui pilastri del peristilio, in fase di restauro durante l'eruzione del 79, erano presenti alcuni affreschi come Iside con una cornucopia ed una figura femminile nuda con in mano una corona di alloro; ben conservata è invece la decorazione parietale dell'oecus, raffigurante la disputa sulla bellezza tra Afrodite ed Eosforo con Apollo in veste di giudice: tutta la scena è incorniciata con stucchi in gesso.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2025.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,68,regioI,regioI,68,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,26,I.3.26,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2026.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,69,regioI,regioI,69,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,27,I.3.27,,Pistrinum,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2027.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,70,regioI,regioI,70,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,3,28,I.3.28,,Thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2003%2028.htm
